البطولة,الفريق الأول,الفريق الثاني,النتيجة,الوقت,رابط المباراة
الدوري الإسباني,ريال بيتيس,أوساسونا,- - -,22:00,https://www.yallakora.com/la-liga/2982/match/105004/%d8%b1%d9%8a%d8%a7%d9%84-%d8%a8%d9%8a%d8%aa%d9%8a%d8%b3-%d8%a3%d9%88%d8%b3%d8%a7%d8%b3%d9%88%d9%86%d8%a7-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a#MC_MatcheDetails
بطولة العالم للأندية لكرة اليد,ماجديبورج,الشارقة,36 - 26,15:30,https://www.yallakora.com/ihf-mens-super-globe/2984/match/105240/%d9%85%d8%a7%d8%ac%d8%af%d9%8a%d8%a8%d9%88%d8%b1%d8%ac-%d8%a7%d9%84%d8%b4%d8%a7%d8%b1%d9%82%d8%a9-%d8%a8%d8%b7%d9%88%d9%84%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d9%84%d9%84%d8%a3%d9%86%d8%af%d9%8a%d8%a9-%d9%84%d9%83%d8%b1%d8%a9-%d8%a7%d9%84%d9%8a%d8%af#MC_MatcheDetails
بطولة العالم للأندية لكرة اليد,برشلونة,الزمالك,47 - 25,17:45,https://www.yallakora.com/ihf-mens-super-globe/2984/match/105241/%d8%a8%d8%b1%d8%b4%d9%84%d9%88%d9%86%d8%a9-%d8%a7%d9%84%d8%b2%d9%85%d8%a7%d9%84%d9%83-%d8%a8%d8%b7%d9%88%d9%84%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d9%84%d9%84%d8%a3%d9%86%d8%af%d9%8a%d8%a9-%d9%84%d9%83%d8%b1%d8%a9-%d8%a7%d9%84%d9%8a%d8%af#MC_MatcheDetails
بطولة العالم للأندية لكرة اليد,فيزبريم,الأهلي,- - -,20:00,https://www.yallakora.com/ihf-mens-super-globe/2984/match/105242/%d9%81%d9%8a%d8%b2%d8%a8%d8%b1%d9%8a%d9%85--%d8%a7%d9%84%d8%a3%d9%87%d9%84%d9%8a-%d8%a8%d8%b7%d9%88%d9%84%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d9%84%d9%84%d8%a3%d9%86%d8%af%d9%8a%d8%a9-%d9%84%d9%83%d8%b1%d8%a9-%d8%a7%d9%84%d9%8a%d8%af#MC_MatcheDetails
الدوري الإيطالي,ساسولو,أودينيزي,3 - 1,13:30,https://www.yallakora.com/serie-a/2981/match/103694/%d8%b3%d8%a7%d8%b3%d9%88%d9%84%d9%88-%d8%a3%d9%88%d8%af%d9%8a%d9%86%d9%8a%d8%b2%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails
الدوري الإيطالي,روما,هيلاس فيرونا,2 - 0,16:00,https://www.yallakora.com/serie-a/2981/match/103695/%d8%b1%d9%88%d9%85%d8%a7-%d9%87%d9%8a%d9%84%d8%a7%d8%b3-%d9%81%d9%8a%d8%b1%d9%88%d9%86%d8%a7-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails
الدوري الإيطالي,بيزا كالتشيو,فيورنتينا,0 - 0,16:00,https://www.yallakora.com/serie-a/2981/match/103699/%d8%a8%d9%8a%d8%b2%d8%a7-%d9%83%d8%a7%d9%84%d8%aa%d8%b4%d9%8a%d9%88-%d9%81%d9%8a%d9%88%d8%b1%d9%86%d8%aa%d9%8a%d9%86%d8%a7-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails
الدوري الإيطالي,ليتشي,بولونيا,1 - 0,19:00,https://www.yallakora.com/serie-a/2981/match/103698/%d9%84%d9%8a%d8%aa%d8%b4%d9%8a-%d8%a8%d9%88%d9%84%d9%88%d9%86%d9%8a%d8%a7-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails
الدوري الإيطالي,ميلان,نابولي,- - -,21:45,https://www.yallakora.com/serie-a/2981/match/103700/%d9%85%d9%8a%d9%84%d8%a7%d9%86-%d9%86%d8%a7%d8%a8%d9%88%d9%84%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a#MC_MatcheDetails
الدوري الفرنسي,نيس,نادي باريس,1 - 1,16:00,https://www.yallakora.com/ligue1/2979/match/104084/%d9%86%d9%8a%d8%b3-%d9%86%d8%a7%d8%af%d9%8a-%d8%a8%d8%a7%d8%b1%d9%8a%d8%b3-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%81%d8%b1%d9%86%d8%b3%d9%8a#MC_MatcheDetails
